year,site,tsq,chs_max_ln,chs_mean_ln,chs_sd_ln,chs_cv_ln,chs_gini_ln,openness_ln,enl0_ln,enl1_ln,enl2_ln,boxdim_ln,slope,aspect,chs_max_tsq,chs_mean_tsq,chs_sd_tsq,chs_cv_tsq,chs_gini_tsq,openness_tsq,enl0_tsq,enl1_tsq,enl2_tsq,boxdim_tsq
2023,A,Q20_0415,12.7,9.1,1.8,0.2,0.1,0,13,10.412,9.557,2.0146,24.7,NA,12.1,9.7,1.7,0.2,0.1,0,12,10.2,9.013,1.7438
2023,A,Q20_0419,11.9,9.5,1.1,0.1,0.1,0,12,10.03,9.565,2.126,30.8,NA,11,9.4,0.8,0.1,0,0,11,9.266,8.375,1.8084
2023,A,Q20_0205,11.8,9.7,1,0.1,0,0,12,9.702,8.681,1.8757,27.4,NA,11.6,9.7,0.7,0.1,0,0,12,8.68,7.322,1.7534
2023,A,X14_1511,13.1,10.9,0.8,0.1,0,0,13,8.382,6.811,2.0437,36.2,NA,11.9,10.6,0.6,0.1,0,0,12,6.851,5.498,1.7049
2023,A,X14_0102,11,9.5,0.6,0.1,0,0,11,8.044,6.907,1.9659,33.4,NA,10.9,9.7,0.5,0,0,0,11,7.275,6.587,1.7653
2023,A,X14_1503,11.8,10.1,0.6,0.1,0,0,12,9.764,8.803,2.078,28.6,NA,11.8,10.4,0.6,0.1,0,0,12,8.811,7.27,1.7055
2023,A,T10_0617,18.4,14.5,3.4,0.2,0.1,0,19,11.543,9.956,1.8092,37.9,NA,17.9,14.6,3,0.2,0.1,0,16,10.164,8.603,1.5174
2023,A,S9_0404,17.7,14.7,2.2,0.2,0.1,0,18,12.096,9.736,1.6657,22.4,NA,17.7,15,2.3,0.2,0.1,0,15,6.918,5.107,1.4482
2023,A,S9_1108,21.7,13.1,3.3,0.3,0.1,0,18,12.848,11.353,1.7306,25.7,NA,16.3,11.6,1.4,0.1,0.1,0,14,11.183,10.231,1.527
2023,A,G26_0912,11.5,6.8,1.7,0.2,0.1,0,12,6.05,5.139,2.2299,43.8,NA,11.5,7.7,1.5,0.2,0.1,0,12,5.902,4.825,1.8912
2023,A,G26_0606,9.9,8.4,0.9,0.1,0.1,0,10,8.68,8.138,1.9936,34,NA,9.6,8.5,0.6,0.1,0,0,10,8.103,7.444,1.6786
2023,A,D33_0610,13.3,9.8,1.5,0.1,0.1,0,13,10.206,9.396,1.9969,32.5,NA,11.8,9.4,1.2,0.1,0.1,0,12,8.762,7.796,1.7306
2023,A,M11_1613,6.2,5,0.6,0.1,0.1,0,6,4.95,4.617,2.2255,42.3,NA,6.1,5.2,0.4,0.1,0,0,6,4.934,4.605,2.1765
2023,A,O27_1507,14,11.6,1.2,0.1,0,0,14,10.179,8.408,1.7649,28.6,NA,12.4,11.8,0.9,0.1,0,0,12,7.557,6.141,1.5686
2023,A,O27_1218,15,13.9,0.7,0.1,0,0,15,11.889,9.568,1.669,30.4,NA,14.9,14.1,0.6,0,0,0,14,10.331,8.317,1.433
2023,A,P26_0614,7.4,6.1,0.8,0.1,0.1,0,7,5.946,5.447,2.103,30.1,NA,7.3,6.2,0.7,0.1,0.1,0,7,5.807,5.269,1.8692
2023,A,P26_0818,7.5,6.2,0.7,0.1,0.1,0,7,6.029,5.544,2.0405,30.2,NA,7.3,6.1,0.3,0,0,0,7,5.438,5.062,1.8394
2023,A,L22_0115,8.2,6.5,0.9,0.1,0.1,0,8,6.825,6.121,1.8425,18.2,NA,7.2,6,1.3,0.2,0.1,0,7,6.658,6.36,1.5554
2023,A,L22_0614,11.3,9.5,0.6,0.1,0,0,11,9.112,8.234,2.1342,21.4,NA,10.8,9.7,0.4,0,0,0,11,7.451,6.356,1.7337
2023,A,P19_0410,10.8,8.4,0.8,0.1,0.1,0,11,7.593,6.794,1.9126,35.9,NA,10.5,8.5,0.8,0.1,0.1,0,11,7.1,6.333,1.7424
2023,A,P19_0113,12.2,10.3,1,0.1,0,0,12,10.354,9.782,2.0679,37.9,NA,12,10.7,0.5,0,0,0,12,9.575,8.649,1.747
2023,A,I27_0803,4.3,2.4,1,0.4,0.2,0.1,4,3.473,3.153,1.7758,18.7,NA,4.1,2.3,0.7,0.3,0.2,0.1,4,3.008,2.688,1.4465
2023,A,F27_0517,10.6,8.8,1.1,0.1,0.1,0,11,9.107,8.572,2.1152,40.7,NA,10,9.1,0.4,0,0,0,10,7.788,6.788,1.7494
2023,A,F27_1201,15.3,12.7,1.4,0.1,0.1,0,15,11.146,9.19,1.7534,22.7,NA,15.1,13,0.8,0.1,0,0,15,11.336,9.058,1.587
2023,A,H31_0403,15,12,1.3,0.1,0.1,0,15,10.036,7.753,1.7782,25,NA,14.2,11.9,0.9,0.1,0,0,14,5.891,3.676,1.3939
2023,A,H31_0901,13,10.2,1.6,0.2,0.1,0,13,10.808,9.997,2.0358,29.3,NA,12.7,10.7,1.3,0.1,0.1,0,13,10.807,9.852,1.6294
2023,A,C32_0110,13.7,11.6,1.4,0.1,0.1,0,14,11.12,9.853,1.7856,35.7,NA,13.5,11.5,1,0.1,0,0,14,10.192,8.686,1.4699
2023,A,C32_1612,13.5,9.3,1.4,0.1,0.1,0,13,9.72,8.922,1.8755,35.6,NA,13.1,9.4,1.2,0.1,0.1,0,13,8.763,7.708,1.7617
2023,A,E34_0216,13,8.8,3.4,0.4,0.2,0,13,9.17,7.633,1.9773,26.5,NA,12.7,9,2.7,0.3,0.2,0,13,9.34,8.002,1.7288
